Language;Group;Speaker;Grapheme;Task;File;Word;Plosion_index;VOT;Length;Gender;Burst
French;Monolinguals;201;v;reading;b__201_read_ville;ville;8.501594128;85.759637;90.748299;F;
French;Monolinguals;201;v;reading;b__201_read_visage;visage;23.10668754;31.362655;61.074645;F;
French;Monolinguals;201;v;reading;b__201_read_vitrine;vitrine;25.93255401;15.780651;38.731617;F;
French;Monolinguals;201;v;reading;b__201_read_voiture;voiture;6.331712181;67.687075;72.675737;F;
French;Monolinguals;201;v;reading;b__201_read_volet;volet;5.774202495;65.396825;70.385488;F;
French;Monolinguals;201;v;reading;b__201_read_voleur;voleur;3.862061771;39.591837;95.732748;F;
French;Monolinguals;201;v;reading;b__201_read_voûte;voûte;3.048885542;82.932325;118.707483;F;
French;Monolinguals;202;b;naming;b__202_picnam_bague;bague;17.59251728;81.269841;86.258503;M;
French;Monolinguals;202;b;naming;b__202_picnam_balai;balai;6.086568692;55.637226;70.680272;M;
French;Monolinguals;202;b;naming;b__202_picnam_barrette;barrette;12.81724617;63.086088;73.605471;M;
French;Monolinguals;202;b;naming;b__202_picnam_beau;beau;15.12312802;125.51503;134.057937;M;
French;Monolinguals;202;b;naming;b__202_picnam_bec;bec;15.53651419;72.286143;78.200464;M;
French;Monolinguals;202;b;naming;b__202_picnam_benne;benne;12.74857528;100.543453;108.429214;M;
French;Monolinguals;202;b;naming;b__202_picnam_berceau;berceau;7.324349477;44.878787;59.138322;M;
French;Monolinguals;202;b;naming;b__202_picnam_berceuse;berceuse;8.016058426;48.62886;59.738141;M;
French;Monolinguals;202;b;naming;b__202_picnam_biche;biche;16.36454331;62.76644;67.755102;M;
French;Monolinguals;202;b;naming;b__202_picnam_bijou;bijou;4.262101656;121.905138;139.251701;M;
French;Monolinguals;202;b;naming;b__202_picnam_bille;bille;9.468844299;93.99093;98.979592;M;
French;Monolinguals;202;b;naming;b__202_picnam_bistrot;bistrot;7.734673744;67.505669;72.494331;M;
French;Monolinguals;202;b;naming;b__202_picnam_bitume;bitume;10.25358834;70.743505;81.451247;M;
French;Monolinguals;202;b;naming;b__202_picnam_bière;bière;5.292014136;64.531079;73.8322;M;
French;Monolinguals;202;b;naming;b__202_picnam_bocal;bocal;7.052836305;71.628996;85.876961;M;
French;Monolinguals;202;b;naming;b__202_picnam_bonnet;bonnet;15.85101249;76.872417;81.861079;M;
French;Monolinguals;202;b;naming;b__202_picnam_bossu;bossu;9.873548205;70.521542;75.510204;M;
French;Monolinguals;202;b;naming;b__202_picnam_bout;bout;6.760129025;95.740359;100.729021;M;
French;Monolinguals;202;b;naming;b__202_picnam_boîtier;boîtier;12.42953732;67.686115;76.428823;M;
French;Monolinguals;202;b;naming;b__202_picnam_béquille;béquille;17.19836763;46.000273;51.257447;M;
French;Monolinguals;202;b;PW;b__202_PW_baje;baje;7.65300849;101.114864;112.290249;M;
French;Monolinguals;202;b;PW;b__202_PW_bamite;bamite;20.89532234;92.317762;101.451247;M;
French;Monolinguals;202;b;PW;b__202_PW_bamé;bamé;13.05585506;119.637188;124.62585;M;
French;Monolinguals;202;b;PW;b__202_PW_baut;baut;27.45092899;212.443644;217.700818;M;
French;Monolinguals;202;b;PW;b__202_PW_berlise;berlise;22.60751261;98.208617;103.197279;M;
French;Monolinguals;202;b;PW;b__202_PW_berlit;berlit;8.87585299;71.628996;79.514757;M;
French;Monolinguals;202;b;PW;b__202_PW_berre;berre;8.318083365;168.14059;173.129252;M;
French;Monolinguals;202;b;PW;b__202_PW_bigude;bigude;8.327173644;107.845805;112.834467;M;
French;Monolinguals;202;b;PW;b__202_PW_bime;bime;5.445883342;161.723356;166.712018;M;
French;Monolinguals;202;b;PW;b__202_PW_bipon;bipon;6.480476011;48.542353;59.750567;M;
French;Monolinguals;202;b;PW;b__202_PW_bisleau;bisleau;9.289448529;56.712018;61.70068;M;
French;Monolinguals;202;b;PW;b__202_PW_bive;bive;7.351936809;122.765697;133.378685;M;
French;Monolinguals;202;b;PW;b__202_PW_biète;biète;3.853721122;76.349206;81.337868;M;
French;Monolinguals;202;b;PW;b__202_PW_bofa;bofa;5.551233573;87.164552;92.153214;M;
French;Monolinguals;202;b;PW;b__202_PW_bomain;bomain;12.810875;78.911565;83.900227;M;
French;Monolinguals;202;b;PW;b__202_PW_boud;boud;11.01414004;136.507937;141.496599;M;
