;Unnamed: 0;Language;Group;Speaker;Grapheme;Task;File;Problem;Word;Plosive_Index;VOT;Length;Gender;Fricatived
111;111;French;Monolinguals;201;v;reading;b__201_read_village;;village;17.66241415;56.12264700000001;69.327975;F;False
112;112;French;Monolinguals;201;v;reading;b__201_read_ville;;ville;8.501594127999999;85.75963699999998;90.748299;F;False
113;113;French;Monolinguals;201;v;reading;b__201_read_visage;;visage;23.10668754;31.362655000000004;61.074645;F;False
114;114;French;Monolinguals;201;v;reading;b__201_read_vitrine;;vitrine;25.93255401;15.780651;38.731617;F;False
115;115;French;Monolinguals;201;v;reading;b__201_read_voiture;;voiture;6.331712181;67.687075;72.675737;F;False
116;116;French;Monolinguals;201;v;reading;b__201_read_volet;;volet;5.774202495;65.396825;70.385488;F;False
117;117;French;Monolinguals;201;v;reading;b__201_read_voleur;;voleur;3.862061771;39.59183700000001;95.732748;F;False
118;118;French;Monolinguals;201;v;reading;b__201_read_voûte;;voûte;3.048885542;82.932325;118.707483;F;False
119;119;French;Monolinguals;202;b;naming;b__202_picnam_bague;;bague;17.59251728;81.269841;86.25850300000002;M;False
120;120;French;Monolinguals;202;b;naming;b__202_picnam_balai;;balai;6.086568692;55.637226;70.680272;M;False
121;121;French;Monolinguals;202;b;naming;b__202_picnam_barrette;;barrette;12.81724617;63.086088;73.605471;M;False
122;122;French;Monolinguals;202;b;naming;b__202_picnam_beau;;beau;15.12312802;125.51503;134.05793699999998;M;False
123;123;French;Monolinguals;202;b;naming;b__202_picnam_bec;;bec;15.53651419;72.28614300000002;78.200464;M;False
124;124;French;Monolinguals;202;b;naming;b__202_picnam_benne;;benne;12.74857528;100.543453;108.429214;M;False
125;125;French;Monolinguals;202;b;naming;b__202_picnam_berceau;;berceau;7.324349477;44.878787;59.138322;M;False
126;126;French;Monolinguals;202;b;naming;b__202_picnam_berceuse;;berceuse;8.016058426;48.62886;59.73814100000001;M;False
127;127;French;Monolinguals;202;b;naming;b__202_picnam_biche;;biche;16.36454331;62.76644000000001;67.75510200000001;M;False
128;128;French;Monolinguals;202;b;naming;b__202_picnam_bijou;;bijou;4.2621016560000005;121.905138;139.251701;M;False
129;129;French;Monolinguals;202;b;naming;b__202_picnam_bille;;bille;9.468844299;93.99093;98.97959200000001;M;False
130;130;French;Monolinguals;202;b;naming;b__202_picnam_bistrot;;bistrot;7.734673744;67.505669;72.49433099999997;M;False
131;131;French;Monolinguals;202;b;naming;b__202_picnam_bitume;;bitume;10.25358834;70.743505;81.45124700000002;M;False
132;132;French;Monolinguals;202;b;naming;b__202_picnam_bière;;bière;5.292014136000001;64.531079;73.8322;M;False
133;133;French;Monolinguals;202;b;naming;b__202_picnam_bocal;;bocal;7.052836305;71.628996;85.87696100000002;M;False
134;134;French;Monolinguals;202;b;naming;b__202_picnam_bonnet;;bonnet;15.85101249;76.872417;81.861079;M;False
135;135;French;Monolinguals;202;b;naming;b__202_picnam_bossu;;bossu;9.873548205;70.52154200000003;75.510204;M;False
136;136;French;Monolinguals;202;b;naming;b__202_picnam_bout;;bout;6.760129025;95.740359;100.729021;M;False
137;137;French;Monolinguals;202;b;naming;b__202_picnam_boîtier;;boîtier;12.42953732;67.686115;76.428823;M;False
138;138;French;Monolinguals;202;b;naming;b__202_picnam_béquille;;béquille;17.19836763;46.000273;51.257447000000006;M;False
139;139;French;Monolinguals;202;b;PW;b__202_PW_baje;;baje;7.65300849;101.114864;112.290249;M;False
140;140;French;Monolinguals;202;b;PW;b__202_PW_bamite;;bamite;20.89532234;92.317762;101.451247;M;False
141;141;French;Monolinguals;202;b;PW;b__202_PW_bamé;;bamé;13.05585506;119.637188;124.62585;M;False
142;142;French;Monolinguals;202;b;PW;b__202_PW_baut;;baut;27.45092899;212.443644;217.70081800000003;M;False
143;143;French;Monolinguals;202;b;PW;b__202_PW_berlise;;berlise;22.60751261;98.208617;103.19727900000001;M;False
144;144;French;Monolinguals;202;b;PW;b__202_PW_berlit;;berlit;8.87585299;71.628996;79.51475699999997;M;False
145;145;French;Monolinguals;202;b;PW;b__202_PW_berre;;berre;8.318083365;168.14059;173.12925199999995;M;False
146;146;French;Monolinguals;202;b;PW;b__202_PW_bigude;;bigude;8.327173644;107.845805;112.83446699999999;M;False
147;147;French;Monolinguals;202;b;PW;b__202_PW_bime;;bime;5.445883342;161.723356;166.71201800000003;M;False
148;148;French;Monolinguals;202;b;PW;b__202_PW_bipon;;bipon;6.480476011;48.54235300000001;59.750567;M;False
149;149;French;Monolinguals;202;b;PW;b__202_PW_bisleau;;bisleau;9.289448529;56.71201800000001;61.70068000000001;M;False
150;150;French;Monolinguals;202;b;PW;b__202_PW_bive;;bive;7.351936809;122.765697;133.37868500000002;M;False
151;151;French;Monolinguals;202;b;PW;b__202_PW_biète;;biète;3.853721122;76.34920600000002;81.337868;M;False
152;152;French;Monolinguals;202;b;PW;b__202_PW_bofa;;bofa;5.551233572999999;87.16455199999999;92.153214;M;False
153;153;French;Monolinguals;202;b;PW;b__202_PW_bomain;;bomain;12.810875;78.911565;83.900227;M;False
154;154;French;Monolinguals;202;b;PW;b__202_PW_boud;;boud;11.01414004;136.507937;141.496599;M;False
155;155;French;Monolinguals;202;b;PW;b__202_PW_bovel;;bovel;9.694943486;60.589569;65.578231;M;False
156;156;French;Monolinguals;202;b;PW;b__202_PW_boînion;;boînion;15.09206321;102.426304;107.414966;M;False
157;157;French;Monolinguals;202;b;PW;b__202_PW_bèpe;;bèpe;6.291879025;111.972789;116.961451;M;False
158;158;French;Monolinguals;202;b;PW;b__202_PW_béture;;béture;9.733289666000001;96.621315;101.609977;M;False
159;159;French;Monolinguals;202;b;reading;b__202_read_bague;;bague;7.165365096;93.612799;101.54195;M;False
160;160;French;Monolinguals;202;b;reading;b__202_read_balai;;balai;8.941505802;79.50113400000002;84.489796;M;False
161;161;French;Monolinguals;202;b;reading;b__202_read_barrette;;barrette;16.32290484;59.00226800000001;63.99093000000001;M;False
162;162;French;Monolinguals;202;b;reading;b__202_read_beau;;beau;7.653700491;97.257719;103.829187;M;False
163;163;French;Monolinguals;202;b;reading;b__202_read_bec;;bec;9.960034363;65.057528;394.288051;M;False
164;164;French;Monolinguals;202;b;reading;b__202_read_benne;;benne;16.48120404;122.229296;135.91851599999998;M;False
165;165;French;Monolinguals;202;b;reading;b__202_read_berceau;;berceau;33.06286922;2.238338;10.514348;M;False
166;166;French;Monolinguals;202;b;reading;b__202_read_berceuse;;berceuse;14.94271078;73.44671199999998;78.435374;M;False
167;167;French;Monolinguals;202;b;reading;b__202_read_biche;;biche;10.61546946;86.961451;91.950113;M;False
168;168;French;Monolinguals;202;b;reading;b__202_read_bijou;;bijou;7.025478514;64.421769;69.41043099999999;M;False
169;169;French;Monolinguals;202;b;reading;b__202_read_bille;;bille;5.711908581;77.981859;82.970522;M;False
170;170;French;Monolinguals;202;b;reading;b__202_read_bistrot;;bistrot;13.05259663;57.278912;62.26757400000001;M;False
171;171;French;Monolinguals;202;b;reading;b__202_read_bitume;;bitume;9.758412307999999;57.256236;62.244898;M;False
172;172;French;Monolinguals;202;b;reading;b__202_read_bière;;bière;4.844939254;110.460327;115.44898899999998;M;False
173;173;French;Monolinguals;202;b;reading;b__202_read_bocal;;bocal;12.22234919;41.655328999999995;46.643991;M;False
174;174;French;Monolinguals;202;b;reading;b__202_read_bonnet;;bonnet;15.1994513;94.693878;99.68254;M;False
175;175;French;Monolinguals;202;b;reading;b__202_read_bossu;;bossu;9.063828117;88.453203;93.441865;M;False
176;176;French;Monolinguals;202;b;reading;b__202_read_bout;;bout;15.20928167;117.029478;122.018141;M;False
177;177;French;Monolinguals;202;b;reading;b__202_read_boîtier;;boîtier;6.255968325;30.23459200000001;36.848409;M;False
178;178;French;Monolinguals;202;b;reading;b__202_read_béquille;;béquille;8.694918237000001;41.572564;53.855367;M;False
179;179;French;Monolinguals;202;v;naming;b__202_picnam_vaisseau;;vaisseau;4.714492918;60.142071;81.53876899999999;M;False
180;180;French;Monolinguals;202;v;naming;b__202_picnam_valet;;valet;3.724076499;79.225612;116.236118;M;False
181;181;French;Monolinguals;202;v;naming;b__202_picnam_valise;;valise;6.455665711;71.707854;103.513756;M;False
182;182;French;Monolinguals;202;v;naming;b__202_picnam_vase;;vase;6.745043486;41.636818;91.838414;M;False
183;183;French;Monolinguals;202;v;naming;b__202_picnam_vautour;;vautour;2.839077343;94.603175;115.624562;M;False
184;184;French;Monolinguals;202;v;naming;b__202_picnam_veau;;veau;4.279319385;155.759637;205.04036100000002;M;False
185;185;French;Monolinguals;202;v;naming;b__202_picnam_veilleuse;;veilleuse;4.32098371;47.55102;86.64283800000004;M;False
186;186;French;Monolinguals;202;v;naming;b__202_picnam_ver;;ver;4.162250797;104.580499;163.567993;M;False
187;187;French;Monolinguals;202;v;naming;b__202_picnam_verrou;;verrou;3.43710294;70.204082;115.01393;M;False
188;188;French;Monolinguals;202;v;naming;b__202_picnam_veste;;veste;12.50107588;57.250625;90.791395;M;False
189;189;French;Monolinguals;202;v;naming;b__202_picnam_viande;;viande;4.150101162;64.96598599999999;69.954649;M;False
190;190;French;Monolinguals;202;v;naming;b__202_picnam_vide;;vide;11.14164697;74.421769;146.86302600000005;M;False
191;191;French;Monolinguals;202;v;naming;b__202_picnam_village;;village;8.945975902999999;14.113017000000001;37.822872;M;False
192;192;French;Monolinguals;202;v;naming;b__202_picnam_ville;;ville;5.90839404;84.217687;131.28862;M;False
193;193;French;Monolinguals;202;v;naming;b__202_picnam_visage;;visage;4.0761478460000005;13.166856;42.302294;M;False
194;194;French;Monolinguals;202;v;naming;b__202_picnam_vitrine;;vitrine;3.251633699;45.776013;65.869419;M;False
195;195;French;Monolinguals;202;v;naming;b__202_picnam_voiture;;voiture;2.539387252;89.68254;94.671202;M;False
196;196;French;Monolinguals;202;v;naming;b__202_picnam_volet;;volet;3.403003071;80.929705;126.113232;M;False
197;197;French;Monolinguals;202;v;naming;b__202_picnam_voleur;;voleur;5.814024894;63.378685;123.850855;M;False
198;198;French;Monolinguals;202;v;naming;b__202_picnam_voûte;;voûte;3.745937999;95.443678;141.65851099999998;M;False
199;199;French;Monolinguals;202;v;PW;b__202_PW_vabin;;vabin;8.205927042999999;116.553288;149.66649199999995;M;False
200;200;French;Monolinguals;202;v;PW;b__202_PW_vaident;;vaident;3.184751317;56.261536;107.499721;M;False
201;201;French;Monolinguals;202;v;PW;b__202_PW_vame;;vame;3.903593058;142.29024900000005;147.27891200000005;M;False
202;202;French;Monolinguals;202;v;PW;b__202_PW_varouse;;varouse;7.52345578;107.301587;158.13676500000003;M;False
203;203;French;Monolinguals;202;v;PW;b__202_PW_vaupans;;vaupans;3.076310588;100.211437;135.374897;M;False
204;204;French;Monolinguals;202;v;PW;b__202_PW_veillade;;veillade;4.757721186;174.739229;179.72789100000008;M;False
205;205;French;Monolinguals;202;v;PW;b__202_PW_verrile;;verrile;3.096769607;100.226757;105.21542;M;False
206;206;French;Monolinguals;202;v;PW;b__202_PW_vespe;;vespe;3.134348735;120.272109;125.26077099999999;M;False
